
=== Experimento: unet_x ===

=== Experimento: unet_x ===
[Amp 0.50][unet_x] Epoch 1 | Train MSE: 0.009092 | Val SSIM: 0.8417 | PSNR h*x: 27.5045 | PSNR h*f(x): 30.2466 | LPIPS h*f(x): 0.1357
[Amp 0.50][unet_x] Epoch 27 | Train MSE: 0.032490 | Val SSIM: 0.4474 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.6013 | LPIPS h*f(x): 0.2424
[Amp 0.50][unet_x] Epoch 28 | Train MSE: 0.032593 | Val SSIM: 0.4215 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.6393 | LPIPS h*f(x): 0.2362
[Amp 0.50][unet_x] Epoch 29 | Train MSE: 0.034082 | Val SSIM: 0.4433 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.4931 | LPIPS h*f(x): 0.2395
[Amp 0.50][unet_x] Epoch 30 | Train MSE: 0.034057 | Val SSIM: 0.3937 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7378 | LPIPS h*f(x): 0.2319
[Amp 0.50][unet_x] Epoch 31 | Train MSE: 0.035436 | Val SSIM: 0.3878 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7607 | LPIPS h*f(x): 0.2321
[Amp 0.50][unet_x] Epoch 32 | Train MSE: 0.035406 | Val SSIM: 0.3953 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7406 | LPIPS h*f(x): 0.2306
[Amp 0.50][unet_x] Epoch 33 | Train MSE: 0.036107 | Val SSIM: 0.3858 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7160 | LPIPS h*f(x): 0.2309
[Amp 0.50][unet_x] Epoch 34 | Train MSE: 0.035409 | Val SSIM: 0.4031 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3729 | LPIPS h*f(x): 0.2310
[Amp 0.50][unet_x] Epoch 35 | Train MSE: 0.035537 | Val SSIM: 0.4078 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.6280 | LPIPS h*f(x): 0.2332
[Amp 0.50][unet_x] Epoch 36 | Train MSE: 0.029661 | Val SSIM: 0.4331 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.6578 | LPIPS h*f(x): 0.2371
[Amp 0.50][unet_x] Epoch 37 | Train MSE: 0.034243 | Val SSIM: 0.3959 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7110 | LPIPS h*f(x): 0.2327
[Amp 0.50][unet_x] Epoch 38 | Train MSE: 0.035402 | Val SSIM: 0.4066 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7303 | LPIPS h*f(x): 0.2354
[Amp 0.50][unet_x] Epoch 39 | Train MSE: 0.034534 | Val SSIM: 0.3880 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7600 | LPIPS h*f(x): 0.2293
[Amp 0.50][unet_x] Epoch 40 | Train MSE: 0.037047 | Val SSIM: 0.3805 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7416 | LPIPS h*f(x): 0.2285
[Amp 0.50][unet_x] Epoch 41 | Train MSE: 0.036977 | Val SSIM: 0.3918 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7758 | LPIPS h*f(x): 0.2296
[Amp 0.50][unet_x] Epoch 42 | Train MSE: 0.037615 | Val SSIM: 0.3726 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7751 | LPIPS h*f(x): 0.2237
[Amp 0.50][unet_x] Epoch 43 | Train MSE: 0.038268 | Val SSIM: 0.3663 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7722 | LPIPS h*f(x): 0.2242
[Amp 0.50][unet_x] Epoch 44 | Train MSE: 0.038025 | Val SSIM: 0.3674 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7469 | LPIPS h*f(x): 0.2224
